UserAgent,Page Views
BBCNews/3.9.1.48 CFNetwork/672.1.15 Darwin/14.0.0,"85,183"
BBCBeacon/0.74b (GT-I9195; Android 4.4.2) news/2.5.5 UK,"84,925"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; D5803 Build/23.5.A.0.575),"84,488"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-N920C Build/MMB29K),"83,479"
Dalvik/2.1.0 (Linux; U; Android 6.0; XT1585 Build/MCK24.78-13.16),"82,920"
Dalvik/1.6.0 (Linux; U; Android 4.4.3; HTC Desire 510 Build/KTU84L),"82,081"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-G900T Build/MMB29M),"81,493"
BBCBeacon/3.5 (iPhone; iPhone OS 6.1.6) BBCNews/2.1.4,"79,819"
BBCNews/3.9.3.14 CFNetwork/672.1.13 Darwin/14.0.0,"78,892"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-A510F Build/MMB29K),"78,757"
BBCNews/3.9.1.48 CFNetwork/711.3.18 Darwin/14.0.0,"77,473"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-G925I Build/MMB29K),"77,283"
BBCNews/3.4.1.2 CFNetwork/711.4.6 Darwin/14.0.0,"76,912"
Dalvik/2.1.0 (Linux; U; Android 5.0.1; SGH-I337M Build/LRX22C),"76,896"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; ONE E1003 Build/LMY47V),"76,524"
Dalvik/2.1.0 (Linux; U; Android 5.0.1; ALE-L21 Build/HuaweiALE-L21),"76,407"
BBCBeacon/0.74b (GT-I9505; Android 5.0.1) news/2.5.5 UK,"76,208"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-N910V Build/MMB29M),"76,061"
Dalvik/1.6.0 (Linux; U; Android 4.4.4; GT-I9195I Build/KTU84P),"75,831"
BBCBeacon/3.5 (iPhone; iPhone OS 6.1.3) BBCNews/2.1.4,"73,505"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SAMSUNG-SM-G920A Build/MMB29K),"73,081"
BBCNews/3.9.1.48 CFNetwork/711.4.6 Darwin/14.0.0,"72,260"
Dalvik/1.6.0 (Linux; U; Android 4.2.2; GT-P5110 Build/JDQ39),"72,222"
Dalvik/1.6.0 (Linux; U; Android 4.4.2; GT-I9301I Build/KOT49H),"71,667"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; XT1562 Build/MPD24.107-52),"71,615"
BBCNews/3.4.1.2 CFNetwork/672.1.15 Darwin/14.0.0,"71,418"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-G920T Build/MMB29K),"71,011"
BBCNews/3.7.0.99 CFNetwork/758.5.3 Darwin/15.6.0,"70,848"
BBCNews/3.6.2.6 CFNetwork/758.4.3 Darwin/15.5.0,"70,206"
BBCNews/3.9.1.48 CFNetwork/711.5.6 Darwin/14.0.0,"69,977"
Dalvik/1.6.0 (Linux; U; Android 4.4.2; SM-T520 Build/KOT49H),"69,445"
